baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pvalue	padj	dispersion
AT1G01400.1	28.8469395751955	55.6146642955629	2.07921485482798	0.0373860901825828	-4.74135458696959	0.00102332209806878	0.0487316456826106	0.313981458057264
AT1G02310.1	35.362289867091	69.7175442176253	1.00703551655678	0.014444506441783	-6.11333528086403	0.000104545696649168	0.00709976830246754	0.152704433021947
AT1G02813.1	1120.30636019793	2238.66379318446	1.94892721139915	0.000870576107646265	-10.1657419526389	3.97351939666652e-12	7.24981858986463e-09	0.386135327576586
AT1G02970.1	107.982664441421	210.118547248644	5.84678163419744	0.027826109169119	-5.16741699417893	3.32659984004131e-05	0.00277568245189788	-0.000900673146487285
AT1G03120.1	59.1059262099941	111.568405829798	6.64344659019071	0.0595459488802375	-4.06985282995064	0.00086734088676366	0.0422373405497292	0.0908678044624803
AT1G03390.1	206.121075220677	404.852243621463	7.38990681988983	0.0182533428832851	-5.77569548909742	2.52222001115848e-06	0.000304088622314473	0.22137592863011
AT1G04450.1	120.813176825324	241.626353650648	0	0	-Inf	6.17763928561607e-09	1.94332910308897e-06	-0.00519570779406213
AT1G05440.1	240.328221627292	478.236570195764	2.41987305882033	0.00505999166443873	-7.62664927635966	2.46565164264809e-08	6.13454128690845e-06	0.10726016683183
AT1G06160.1	264.02682651644	3.0421032627702	525.011549770109	172.581764792568	7.4311362253626	2.74588755840787e-08	6.5347348433484e-06	0.0523629310212089
AT1G06170.1	378.46227014843	752.490596204925	4.43394409193389	0.00589235814280715	-7.40693916332617	1.88922674565803e-08	4.92422453096846e-06	0.170125109727975
AT1G06420.1	470.085605445943	934.730231283395	5.44097960849068	0.00582090899212723	-7.42453982293146	1.10795735131025e-08	3.22580604155947e-06	0.126682528647044
AT1G07370.1	584.449033515516	1141.93880518002	26.959261851016	0.0236083244817713	-5.40456053480774	3.46628085433441e-06	0.000392004852981092	0.231161513280293
AT1G07620.1	746.585689926058	24.1742416886545	1468.99713816346	60.7670410961801	5.92521713994139	6.77367529901108e-07	9.65530966579871e-05	0.19546815565493
AT1G09200.1	3009.96510249843	5712.35652611988	307.573678876973	0.0538435718202435	-4.21508207261198	0.000101816722414385	0.00694892782802217	0.392954663721052
AT1G09380.1.DE	304.544436066961	608.552782464787	0.5360896691356	0.000880925508161028	-10.1486923508128	2.29196898818869e-10	1.65070019128285e-07	0.232319045951864
AT1G09450.1	247.962047389325	489.541223475316	6.38287130333304	0.0130384756119622	-6.26108098244641	5.99441085493207e-07	8.58926891506706e-05	0.0110412780439549
AT1G09600.1	192.705558617551	375.2606791524	10.1504380827025	0.0270490319039801	-5.20827922944982	1.58705009972974e-05	0.00148240229110592	0.161957103725989
AT1G10640.1	2074.18953892476	4037.07030458382	111.308773265702	0.0275716707582026	-5.18066949690828	6.21495534026392e-06	0.000661832286974098	0.0521860734792473
AT1G11510.1	35.1408968611314	70.2817937222627	0	0	-Inf	7.65697263391827e-06	0.000790777460547454	-5.48031608177852e-05
AT1G11610.2	17.0612930067604	34.1225860135207	0	0	-Inf	0.000352329481476516	0.0203001121032616	0.40329406048483
AT1G11620.1	21.7161714164123	43.4323428328246	0	0	-Inf	0.000103599506453671	0.00705301316573149	0.222343741390816
AT1G11765.1	274.061971829744	545.704070600668	2.41987305882033	0.00443440536581801	-7.8170436262015	1.32353477426265e-08	3.73427831979589e-06	-0.00126889637039518
AT1G13100.1	198.492448117459	9.7579430880441	387.226953146873	39.683255953944	5.31045849651683	9.29121716776071e-06	0.000940686883747466	0.0290281221594539
AT1G13130.1	296.882237465052	583.14309099998	10.6213839301237	0.0182140268727355	-5.77880627201393	2.17430455532997e-06	0.000265653424420851	0.209270473312578
AT1G13150.1	845.64708206616	1616.91337520593	74.3807889263862	0.0460017154084787	-4.44216852936243	4.51756946008506e-05	0.00356050067633316	0.0054234830357685
AT1G13260.1	2349.48488395715	198.275303024577	4500.69446488972	22.699218693575	4.5045707357382	3.9118040531234e-05	0.00316010467888169	0.00030546825867933
AT1G13470.1	1885.1705620675	52.8768672423206	3717.46425689268	70.3041698717991	6.13553835566393	2.04459005661702e-07	3.41197199204236e-05	0.124687725848033
AT1G13635.1	67.79830197701	128.402128599273	7.19447535474657	0.0560308106511194	-4.15763582421198	0.00071417961614896	0.0361287758498424	0.0979669718271064
AT1G13890.1	137.022220500895	274.04444100179	0	0	-Inf	2.98261447878238e-09	1.13372490354606e-06	0.00550198979395954
AT1G13970.1	1128.51699755187	2141.58050799913	115.453487104617	0.0539104118072522	-4.21329225980112	9.76411391569835e-05	0.00674808761729375	0.00074194150357778
AT1G14370.1	864.918215790384	41.0753482532265	1688.76108332754	41.1137374397036	5.36154862078191	0.000534584954358899	0.0285752363884655	0.724138015152176
AT1G14760.1	19.247669835427	38.4953396708539	0	0	-Inf	0.000206403839989009	0.0130871981745056	-0.0493267814791302
AT1G14900.1	1780.7767339348	3426.48042100756	135.073046862038	0.0394203469057965	-4.6649157173743	2.38342802715519e-05	0.00213168817801252	0.00230302983643916
AT1G16070.2	117.019607830458	228.127290205004	5.91192545591186	0.025915029502166	-5.27006715365951	2.16371006462459e-05	0.00194790845554756	0.0240847882742317
AT1G16420.1	69.2398144509806	0	138.479628901961	Inf	Inf	1.41416870537171e-07	2.63285504276278e-05	0.0271271415641622
AT1G16630.1.DE	507.078885845456	996.682570610034	17.4752010808779	0.0175333667871627	-5.83375313829992	1.07580231220516e-06	0.000145037229952861	0.00264355586730653
AT1G17560.1	378.389501312192	724.198268795155	32.5807338292296	0.0449886933359203	-4.47429372428394	6.06733413709403e-05	0.00452454497722042	0.238448016606239
AT1G19500.1	154.406889831762	307.270654477831	1.54312518569238	0.00502203891977493	-7.63751107541773	6.77786859930988e-08	1.37404968759935e-05	0.0223135238413754
AT1G19850.1	2518.66298872304	4882.12299513297	155.202982313107	0.0317900598710499	-4.97528045623103	1.05036030520629e-05	0.00102665217260306	0.170884361347782
AT1G20130.1	11171.4364619392	22334.6212082808	8.25171559759751	0.0003694584976681	-11.4023000681449	0.000228226122747236	0.0141314310573447	1.67738621991792
AT1G20680.1	65.92041985427	131.369893861119	0.470945847421183	0.003584884128163	-8.12385779625826	9.6953503279974e-07	0.000133337863204338	0.23050556161016
AT1G20930.1	534.882457213111	1044.71931415573	25.0456002704907	0.0239735208597448	-5.38241438450591	3.21920267850237e-06	0.000371743202131869	0.27592487234531
AT1G21740.1	338.449623557467	648.62216973421	28.2770773807246	0.0435956072736642	-4.51967341449199	5.92822281772824e-05	0.00446952071833571	0.0060358896278386
AT1G22100.1	50.0158130392251	100.03162607845	0	0	-Inf	9.40125303500289e-07	0.000129946208617151	0.296850408098072
AT1G22130.1	212.665876017257	422.310645484844	3.02110654967035	0.00715375419012204	-7.12708373786719	8.16849733333659e-08	1.60369219303549e-05	0.213684939887059
AT1G22240.1	75.3543005938344	149.636421849398	1.0721793382712	0.00716522972829637	-7.12477132440902	1.40558654176444e-06	0.000183181392738139	0.214119990670276
AT1G22350.1.DE	451.649889310314	41.15664045998	862.143138160648	20.9478501773968	4.38873028642276	6.69500134031003e-05	0.00490884381519305	0.0448997645236012
AT1G22460.1	231.887192028247	461.890600666809	1.88378338968473	0.00407841897402806	-7.93777429432377	1.60025528006728e-08	4.37957865048815e-06	0.024321926142905
AT1G22470.1	31.1106975453842	62.2213950907683	0	0	-Inf	1.53822447742155e-05	0.00144667104804374	-0.0213378357562295
AT1G23240.1	3380.58775524455	6758.75563743029	2.41987305882033	0.000358035293570752	-11.4476105704125	3.53239725315639e-14	3.93080099111662e-10	0.00362530338823224
AT1G23380.2	345.906019874692	663.955703489787	27.8563362595976	0.0419551125371514	-4.57500956546059	4.52738320434061e-05	0.00356050067633316	0.0193135471269022
AT1G23510.1	194.455116925449	388.374144181762	0.5360896691356	0.00138034335489827	-9.50075710838695	2.50123191993928e-09	1.00667228213086e-06	0.0485909451938441
AT1G23620.1	236.267901911657	472.535803823313	0	0	-Inf	1.49829454150436e-10	1.24258560642095e-07	0.0190046810433172
AT1G23640.1	164.858688311715	329.717376623429	0	0	-Inf	1.15461375265203e-09	5.44818434182427e-07	0.129998593207468
