baseMean	baseMeanA	baseMeanB	log2FoldChange	X.Intercept.	batch2	groupLeaf	dispersion	pvalue	padj
AT1G12940.1	589.854486158783	94.8333050057953	1084.87566731177	3.51599208541921	-12.0987698236032	-5.87081708649727	2.25511180789155	0.0590078686130313	1.0747448201098e-09	2.00042253367038e-05
AT1G28050.1	1031.75590988417	609.044713891696	1454.46710587663	1.25587061426069	-12.024737091986	1.41390826712968	0.998515476873664	0.0491014607743706	1.49943478397712e-05	0.0253262352541213
AT1G35140.1	154.09532801065	265.779790474957	42.4108655463427	-2.64772557653152	-12.9476704731738	1.69900345677608	-1.98774223596879	0.0956767417160032	2.63841056439334e-08	0.000163695786116844
AT2G26020.1	519.521219431963	976.476231932878	62.5662069310488	-3.96412937981952	-10.187800151555	-4.18600615467843	-1.97727484013884	0.113192179401872	2.54399802484085e-05	0.0364241809510483
AT3G15310.1	502.24901848678	838.728332918204	165.769704055356	-2.33902322720783	-9.979163400165	-5.0983249765297	-1.69493777753925	0.0627791279771597	5.37750452948281e-07	0.00166819153012106
AT3G19680.1	1273.58472098438	1882.79051436104	664.378927607733	-1.50279426919364	-9.95355999010845	0.101924423985718	-1.03000275066056	0.0492037259737947	7.36515850810317e-06	0.0137087695311324
AT3G45970.1	237.0428213455	378.859680010423	95.225962680578	-1.99223673696958	-12.036050014643	1.0857148495396	-1.65583689847525	0.103746827188538	3.92392148740955e-06	0.00818182370208986
AT4G19430.1	1151.02888412162	386.944221960075	1915.11354628317	2.30723240960642	-10.6981027426346	-7.43478146920913	1.43169808276468	0.0511036053867224	1.63280945064984e-05	0.0253262352541213
AT4G37610.1	567.826247310125	881.38577450881	254.26672011144	-1.79343096565623	-11.7904863635591	1.8391570917315	-1.53742362086727	0.0688887494488201	7.60313542966863e-08	0.000353792899381056
AT5G06570.1	231.241525357386	37.9586801041065	424.524370610666	3.48334564366791	-12.9690754867785	-3.33811312544182	2.09385944752051	0.0876408935921524	1.25745187306455e-07	0.000468099034267009
AT5G15500.2	875.124895690872	375.291544281753	1374.95824709999	1.87330411921405	-10.8610344064607	-5.69675292648065	1.38563930937373	0.0499183239978969	3.95618187926765e-06	0.00818182370208986
AT5G44430.1	1870.65892593607	3321.32012854103	419.997723331108	-2.98330337239874	-8.76426091561047	-7.14912257844951	-1.79198635298493	0.0593541976816432	7.36596969546782e-07	0.00195861134202489
AT5G57560.1	1005.50690555759	1555.43633195853	455.577479156644	-1.7715510065478	-11.2833847392408	1.89036928216112	-1.4930394332747	0.0576050509144967	7.36347383760452e-09	6.85281692696665e-05
