baseMean	baseMeanA	baseMeanB	log2FoldChange	X.Intercept.	batch2	groupLeaf	dispersion	pvalue	padj
AT1G01040.2	2310.25677879559	1485.53903641863	3134.97452117255	1.07746720163085	-10.4105923412714	0.442305803535908	0.835996809564407	0.0835652341307672	0.00529817835086999	0.0196211062452136
AT1G01110.2	321.43710070958	541.438648721	101.435552698161	-2.41623447400962	-11.4839430850333	0.509963741430825	-1.53844741956452	0.114853551465178	3.72262141986741e-05	0.000224227885264253
AT1G01140.3	5009.49894316102	2500.40221984384	7518.5956664782	1.58830303007727	-9.48674687456784	-0.219639259419605	1.08034004730914	0.0826269083663616	0.000258728688124048	0.00131496385690819
AT1G01150.1	42.9637909888726	83.7224612669156	2.20512071082958	-5.2466851866289	-12.8517207893253	-0.32308502779942	-3.57024261917258	0.14682366545424	1.71971390845372e-10	2.29978663834368e-09
AT1G01180.1	338.304474571528	66.0554914921842	610.553457650872	3.20836720808284	-13.3698413578224	0.219274088745486	2.26355558043113	0.0969738764323259	1.23048405376193e-10	1.67944771537987e-09
AT1G01200.1	66.7364087832305	95.448190221624	38.0246273448369	-1.32778373408746	-12.3895616255139	-1.20716434239424	-1.0061415452468	0.124930632148381	0.0102709766515653	0.034769074667146
AT1G01225.1	147.955209080493	232.582741382041	63.3276767789442	-1.87683598754935	-11.7153832913109	-0.537875479458122	-1.35339325847541	0.10493119879331	0.00011528454694235	0.000636008519981836
AT1G01240.1	1189.40235834258	688.973620234934	1689.83109645022	1.29435840166037	-10.9909067260801	0.195015511188023	0.894935403367277	0.0623369609284009	0.000461947174980561	0.00222811212402623
AT1G01250.1	569.801065346579	817.744353176771	321.857777516387	-1.34522656080463	-10.4734006915687	-0.56592650088022	-0.935347053085739	0.0687513865274918	0.00055779044637865	0.00264228526166017
AT1G01360.1	1477.43856577852	793.686759177481	2161.19037237956	1.44518451743298	-10.8366159221153	0.163668207866762	1.0079031914368	0.0629110115259232	9.1267651955551e-05	0.000513907086395872
AT1G01370.1	227.280371883146	442.0417086737	12.519035092593	-5.1419872253414	-10.9457436654317	-0.78868567005874	-3.69586596871977	0.108489266205147	6.90504995083117e-18	1.96793923598688e-16
AT1G01380.1	36.480137394434	18.7114624118118	54.2488123770563	1.53566923604892	-14.2827334093124	-0.54573942512625	1.12378015581955	0.149734390750746	0.0102899832508011	0.0348101131434946
AT1G01390.1	490.302222410463	58.5924107548881	922.012034066037	3.97599986554626	-13.3991432196968	0.0869616672725523	2.75801699449835	0.0748048530596836	3.46384082144962e-18	1.01742551520003e-16
AT1G01400.1	27.3068832638461	52.4644845572956	2.14928197039668	-4.60941445995916	-13.3396071501628	-0.318075653012177	-3.07040988122516	0.1750839827598	2.96127928621736e-07	2.6009139445981e-06
AT1G01440.1	803.349037282222	439.011026368694	1167.68704819575	1.41132458871833	-11.5332455856658	0.32022847059372	1.01825514285597	0.0711968285063961	0.000235651298692377	0.00120849493444453
AT1G01470.1	1997.21274187315	369.501462370414	3624.92402137588	3.29429877724224	-11.5603598574348	0.0877479714245428	2.28875919466724	0.066456491588841	7.59295462893487e-16	1.76298519163984e-14
AT1G01490.1	2426.22089388723	1392.42362366323	3460.01816411123	1.31318141567762	-10.0779333360764	-0.231612409210284	0.911825992732511	0.0681840630953991	0.000619417840303134	0.00290649909680701
AT1G01550.1	7534.6868627501	4356.20954504124	10713.164180459	1.2982393911617	-9.07069703349599	0.0523463722566571	0.8967689411062	0.0934634610504298	0.00398186462013512	0.0152898324508115
AT1G01560.2	160.563973471718	83.0997830354114	238.028163908025	1.51821567043783	-12.8719857639237	-0.232999592999822	1.0064871867035	0.115980937231995	0.00569169997175352	0.0209113499631632
AT1G01570.1	175.910912081454	271.837466881524	79.9843572813836	-1.76495453231594	-11.9102131346681	0.172126738049155	-1.22038601011204	0.0953163037827778	0.000211935564740998	0.00110191310893243
AT1G01600.1	2674.46590038762	5194.34237929256	154.589421482694	-5.07042760631234	-8.66949870288011	-0.339328776620464	-3.60272404080899	0.0953810920371989	1.33275402221207e-21	5.23614207370774e-20
AT1G01680.1	64.6427436867489	7.24291805540524	122.042569318093	4.07466959456434	-15.2126814079609	-0.478078635853902	2.79721221847549	0.126225040583836	5.10697170678561e-10	6.43639112910324e-09
AT1G01690.1	321.291348506283	495.782270283993	146.800426728574	-1.75585051809266	-11.3222457886441	0.2345295201798	-1.25636592873067	0.0968205065902086	0.000150241494751197	0.000808809254499574
AT1G01780.1	599.067075479323	910.241025333816	287.893125624829	-1.66071527093451	-10.7354246435561	0.244215799325518	-1.16140563092755	0.0675800828023774	1.85165192292374e-05	0.000118649043741181
AT1G01790.1	8571.16522387182	3787.19897140933	13355.1314763343	1.81819105437583	-9.07414550976675	-0.198089938330045	1.22570081771226	0.107003501445966	0.000331689627922997	0.00164813838697858
AT1G01830.2	2582.6044065566	1699.23623266413	3465.97258044907	1.02837380724046	-10.0630121278488	0.139313990336311	0.720392164172121	0.0703501014011421	0.00744614849589809	0.0263413540076181
AT1G01880.1	182.772873057643	301.890653656636	63.6550924586502	-2.2456782519974	-11.9055007541457	0.408136900509424	-1.6200634424665	0.107354242456474	6.79677228124589e-06	4.77421762058424e-05
AT1G01920.1	621.295617492817	974.439115967757	268.152119017877	-1.8615203931072	-10.6173080210352	0.141150723122362	-1.28779849821333	0.0668760831136953	2.04576327285617e-06	1.5689261427562e-05
AT1G01980.1	333.765444857939	660.336328035465	7.19456168041258	-6.52015041170426	-11.6268224051221	0.955903492065454	-4.29401984784942	0.112582791203973	5.23203767863986e-20	1.80788024930492e-18
AT1G02040.1	187.406390147003	374.233580746083	0.579199547923843	-9.3356628286608	-11.2867284123463	-0.46198041529896	-6.32230391698171	0.105287890083492	9.3655812564511e-27	5.67566466730815e-25
AT1G02050.1	2967.19290218443	5775.233858769	159.151945599869	-5.18140266847245	-8.85880461789064	0.206660202943105	-3.61715308005247	0.077856023381809	9.99372454675409e-27	6.02658663863426e-25
AT1G02180.1	298.033691358808	496.76689753661	99.3004851810071	-2.32269636973758	-11.0441217825012	-0.337602390183072	-1.64545752472987	0.0914379054130765	5.13373473056728e-07	4.34570801173036e-06
AT1G02190.1	2928.17912017475	5841.22240121945	15.1358391300477	-8.59215784508023	-9.0624575132264	0.428510689181155	-5.80667515151674	0.119712452698487	3.89261753944288e-31	3.49280804764978e-29
AT1G02280.1	1851.60080432885	2610.85770459706	1092.34390406065	-1.25709669755296	-9.51158584386692	-0.0965817015924207	-0.86910762145389	0.0637047631612206	0.000739729477324978	0.00341969671618274
AT1G02310.1	33.0792291244331	65.0558978934514	1.10256035541479	-5.88275031812443	-13.4304834363022	0.327858405059654	-3.97082186985759	0.15813211583202	3.50292181816569e-10	4.50681190074453e-09
AT1G02360.1	34.6946802831851	2.39815813498935	66.9912024313808	4.80397294860439	-16.4658986357745	-0.107431452847015	3.28637878564093	0.187594697183404	4.62160542763315e-08	4.58305085829032e-07
AT1G02370.1	382.556423033268	528.510098648359	236.602747418177	-1.15946421228252	-11.3501241457223	0.411939477515553	-0.865256326079043	0.0866763538185892	0.00487242562441517	0.0182435578366849
AT1G02450.1	178.567213312556	293.715884508898	63.4185421162151	-2.21144467261376	-11.5549196486937	-0.275283013805366	-1.64856314645958	0.174019415426373	0.000642818716463975	0.00300869012572134
AT1G02460.1	107.642103731683	66.7045578038304	148.579649659536	1.15537928275369	-13.9240493436661	1.06139667375339	0.871634459075993	0.11143070427998	0.0146879530502388	0.0472870488478521
AT1G02470.2	509.261226351019	703.734364004494	314.788088697544	-1.16065001130274	-10.7638895276229	-0.228408710818399	-0.798076917921976	0.0726639401873884	0.00399874793162116	0.0153398389830333
AT1G02475.1	2539.87733744414	1094.36041326783	3985.39426162046	1.86463450313121	-10.3607453997366	-0.135375790254736	1.29050197978042	0.0685707706417571	1.98083088039465e-06	1.52206607096844e-05
AT1G02510.1	64.6362497427987	129.272499485597	0	-Inf	-12.6138195109083	0.100571397118419	-6.94475278080359	0.137873306826396	1.91045852131128e-17	5.24593427727488e-16
AT1G02530.1	57.5079001112152	108.923798897433	6.09200132499779	-4.16025913891101	-12.8601666991302	0.21772624844818	-2.84774713421556	0.137477236444468	3.26067675209643e-09	3.74016431077585e-08
AT1G02610.1	222.35666951441	78.0348604331047	366.678478595715	2.23232492589116	-12.961362956837	-0.214367529808975	1.53860640274752	0.0909339809965741	2.21494164830619e-06	1.68889300683347e-05
AT1G02640.1	1001.34648643967	1783.44234253766	219.250630341675	-3.02401167971056	-9.46458413617679	-0.788809536795013	-2.38673900426957	0.117891840004861	2.30610523479699e-09	2.69750307868432e-08
AT1G02660.1	744.032990625549	1201.77694557304	286.289035678058	-2.06962482709278	-10.515391451541	0.281337320240028	-1.37106375157777	0.0846099260271772	1.07610937567238e-05	7.22322837685879e-05
AT1G02681.1	6.36892938820908	12.2144979689272	0.523360807490947	-4.54464486757371	-14.8404704588759	-0.157317050387554	-2.89612246763206	0.165583850915606	0.000170165468170233	0.000905379239216373
AT1G02690.2	770.920475578407	1420.21768192824	121.623269228576	-3.54562089393593	-10.2247775741074	0.123934126059456	-2.46716702078609	0.0692953323336886	1.10308753578828e-16	2.77176900591571e-15
AT1G02720.1	509.32085053157	831.031307658435	187.610393404704	-2.14716307529544	-10.5441580470644	-0.275022154872203	-1.54789996869711	0.0915159715337512	2.2320214891809e-06	1.70005229307382e-05
AT1G02780.1	17932.2390262791	25376.1112591801	10488.3667933782	-1.27468095683978	-7.24512303366486	-0.0800482838722591	-0.88193804431931	0.127842760660812	0.0152129361996953	0.0487964752457016
AT1G02790.1	12887.1486887952	25702.5959278916	71.7014496987993	-8.48569607330114	-7.09789662986079	-0.370375480306416	-5.8897152011283	0.114448283271206	1.17733204512359e-35	1.41769126264752e-33
AT1G02800.1	683.848264701099	1361.4370118559	6.25951754629648	-7.76486305556319	-10.5775786562504	0.501148887185679	-5.20652054016945	0.123359061358261	3.16743797584594e-24	1.56492814806626e-22
AT1G02820.1	1004.35894530604	178.711815166553	1830.00607544554	3.35614151464678	-11.6516252146186	-1.33667887765171	2.08494613981404	0.0781287380341348	2.17149080519498e-11	3.21801748733637e-10
AT1G02870.1	464.142732810964	663.406001073457	264.879464548471	-1.32455606313781	-10.8688736542941	-0.130983750926396	-0.908157902905394	0.0779935774290406	0.00168246189064223	0.00714712277796339
AT1G02890.1	4330.85912362005	2775.71660455515	5886.00164268495	1.0844276659258	-9.91632247288756	0.653912622711995	0.834158149633078	0.0814083783757127	0.00429512142042008	0.016328153263688
AT1G02910.1	1792.64859886571	952.565818747987	2632.73137898344	1.46666964282292	-10.6981262928274	0.225150455210124	1.04336098480529	0.0685193975716396	0.000113753358524942	0.000629308556231063
AT1G02920.1	1873.9189035902	23.1757623529095	3724.66204482749	7.32834892291664	-14.1484252379045	-0.463546906741084	5.24476059663401	0.124133179397856	8.13771002804675e-27	4.97491301406919e-25
AT1G02930.1	2522.61014071143	215.48567367853	4829.73460774434	4.48628005397667	-11.9743292560894	-0.265795250436318	3.20599866339387	0.117878199083632	1.08702130644348e-14	2.2837299592169e-13
AT1G02952.1	5.47137671288837	10.9427534257767	0	-Inf	-15.7449701828816	1.1331149812327	-4.49959547786213	0.154746904742905	2.0992039138283e-05	0.000133313826637096
AT1G03010.1	82.0521990340053	15.8993669931829	148.205031074828	3.22055318997561	-13.8668300587608	-1.44551420688422	1.68512241927323	0.20566420057091	0.00259696880350692	0.0104874106037091
AT1G03020.1	15.7372271576401	6.75060442909676	24.7238498861834	1.87281482299342	-15.4063350399524	-0.197808907945671	1.29812374872583	0.149167078395687	0.00741429550891996	0.026238682426987
AT1G03055.1	234.003495550309	92.8562574848859	375.150733615733	2.01439933922478	-12.6447079668371	-0.560114735727806	1.38174086210184	0.0893847865216835	1.53548961972848e-05	9.99559542765445e-05
AT1G03110.1	442.595187151197	761.647775755504	123.542598546889	-2.62411539597163	-10.6873999564476	-0.228074093057759	-1.80672586460346	0.0779408604003696	2.54073392901004e-09	2.94962666816958e-08
AT1G03120.1	56.0208930031848	104.958901806823	7.08288419954679	-3.88934376451693	-12.7111370701682	-0.138453166071171	-2.65724105807115	0.139130759015327	2.00003377183481e-08	2.08207108523043e-07
AT1G03130.1	23497.3872862856	7623.12833422605	39371.6462383451	2.3687019678769	-8.90486145569819	0.547267661594424	1.87108390169325	0.209346142822683	0.000354576735301782	0.00175184839594216
AT1G03170.1	530.048417010791	1046.26609806509	13.8307359564962	-6.24122808358635	-10.5855574476702	0.298584538080571	-4.39770860379807	0.111749613334835	1.36205362476473e-22	5.83773245399933e-21
AT1G03180.1	122.336738927124	200.403547416357	44.2699304378903	-2.17850903481233	-11.9784922948249	-0.328038796545897	-1.49742319143583	0.105818498984756	2.76094845515968e-05	0.00017115171027016
AT1G03200.1	262.621322505826	138.24599840614	386.996646605512	1.4850833436214	-12.73579600391	0.502314351674939	0.947890331709147	0.100391437828414	0.00450491962234873	0.0170256581814201
AT1G03270.1	230.44344854188	361.195540719723	99.6913563640374	-1.85723975379804	-11.3826677446978	-0.26598899340503	-1.34408115404441	0.110090452831027	0.000180090688884733	0.000952176886907002
AT1G03300.1	339.582122182789	466.970107462042	212.194136903536	-1.13794540651077	-11.1090266572702	-0.431731738691594	-0.740996327858787	0.0868361795112656	0.0153104105712422	0.0490546020209706
AT1G03310.2	3339.52934179879	1970.60619820397	4708.4524853936	1.25661347094144	-9.921509285726	0.167801542765792	0.861310564747963	0.0718347351662245	0.0016098009729274	0.00686993308728884
