logFC	AveExpr	t	pvalue	padj	dispersion
AT1G01010.1	0.114234242139733	2.65014654912762	0.335439341943616	0.752080135261189	0.843353031206838	0.34055111567365
AT1G01020.1	-0.0124755549853917	3.47793134249444	-0.0493032200369097	0.962750773000624	0.976176818118734	0.253037326488049
AT1G01030.1.Hnull	0.583676884496662	0.377730663550278	1.15852219887097	0.303368570397734	0.490238720909446	0.503811567068358
AT1G01040.2	1.12721593757525	5.80344751659018	3.75632554260473	0.0154590411535645	0.0657825593721033	0.300084730354232
AT1G01046.1	1.53636051143804	-0.352464751580599	3.24766540370717	0.0257665975139524	0.0952133197699988	0.473066132269754
AT1G01050.1.Hnull	0.00394301212972703	5.86640872213925	0.0180869002359314	0.986329276432865	0.99112527480147	0.218003752898125
AT1G01060.1	0.451534942560716	6.42670257559572	1.77140992994577	0.141931597146933	0.301478084543443	0.25490144033151
AT1G01070.1	0.409660128169398	3.18937159525718	1.61863420647125	0.171653755365321	0.339749538530231	0.253089998056132
AT1G01080.2.Hnull	0.0939395625449331	6.0302128464793	0.394846585156771	0.71063466430777	0.811706981504558	0.237914081256737
AT1G01090.1.Hnull	0.16734473503471	7.33231112475114	0.691904609579595	0.522430234294077	0.673248225206649	0.241860991699983
AT1G01100.1	-2.51219300995046	7.14459807239077	-9.34494233532761	0.000370520713161206	0.00652700991657768	0.268829161251575
AT1G01110.2.Hnull	0.312248484095599	0.758797895608374	0.816735564557357	0.454373790381931	0.619889595194424	0.382312828834419
AT1G01120.1.Hnull	-0.708530098386504	5.49798030880178	-2.12247643034451	0.0921946600955581	0.228012371828722	0.333822363469779
AT1G01130.1	-2.57272086285327	0.742735850366413	-6.58654257699574	0.00167532369411478	0.0145524039326933	0.390602631468412
AT1G01140.3.Hnull	-0.110328552938033	6.66135962687818	-0.472789046813608	0.657989200883828	0.77077144462246	0.233356829396957
AT1G01150.1	-5.00358120136337	-1.29214135826263	-8.7445364182616	0.000495636246314417	0.00756623976457488	0.572195135572216
AT1G01160.2	-0.35831412888489	5.04670313478399	-1.42146515244585	0.219435014282716	0.397091951131346	0.252073804460387
AT1G01170.1.Hnull	0.105412490530219	5.32337593528949	0.483926617532848	0.650640885531132	0.764848979162377	0.21782742819073
AT1G01180.1	3.17063849093059	2.40933569242939	8.46874989401613	0.000569976214202682	0.00813168694119562	0.374392741621866
AT1G01183.1	-1.05708135069854	-5.61840518632892	-1.01978634209744	0.358549752105439	0.527518846844322	1.03657139447896
AT1G01190.1	-1.43409136346243	-2.42548123886641	-2.12747111200233	0.0916381149521136	0.227142370933989	0.674082649288099
AT1G01200.1.Hnull	-0.543656853752405	-0.228760046749325	-0.775662899729662	0.475999178747527	0.639596240325572	0.700893202371652
AT1G01210.1	-0.569588465271775	3.23813429466907	-2.08937137005828	0.0959765685215417	0.231958730624763	0.272612362471439
AT1G01220.1.Hnull	0.0711716271528946	5.06743394730234	0.311521693626263	0.769054797442362	0.855837704982072	0.228464433164903
AT1G01225.1	-2.01135054635936	1.66103345798561	-5.82679149603024	0.00279309934853131	0.0201579648998187	0.345190066905548
AT1G01230.1.Hnull	0.22950908775077	4.30092739009744	1.01638666081895	0.360004334667853	0.528984401762825	0.225808834962321
AT1G01240.1	1.21504058743116	4.86179367572456	5.00782061534164	0.00516259857131061	0.0304193166932293	0.242628616470175
AT1G01250.1	-1.44261358392719	3.74007870984193	-5.69169597106242	0.00307603850037078	0.0214833942376463	0.253459353988986
AT1G01260.1.Hnull	0.662869722048534	4.27249505777237	2.93158567672441	0.0361398348184449	0.121189671323853	0.226113030675326
AT1G01280.1.Hnull	1.1419387553144	-5.01016533450989	1.38923342508805	0.228395918707525	0.408179398570429	0.821991995507902
AT1G01290.1.Hnull	0.346130738380788	3.47811317870032	1.41494241213262	0.221220623791438	0.399376850774659	0.244625318608618
AT1G01300.1	-2.09344995453231	6.29423975485013	-7.46771138724561	0.000981946594006578	0.0107127124557939	0.28033353807805
AT1G01310.1.Hnull	-0.264971837546366	-3.63720206042747	-0.395809515957318	0.709971826995532	0.811413117340498	0.669442817476219
AT1G01320.1.Hnull	0.431395902709776	9.24950067249245	1.69613477053867	0.155856834634258	0.321584640838378	0.254340580832955
AT1G01340.2	2.56664020041593	2.3819461259311	7.72003493212589	0.000851176749874861	0.00996229355770695	0.332464842838366
AT1G01350.1	-0.46623511439539	4.30598080270013	-1.96325484495731	0.111975898303673	0.25767297455753	0.237480689576767
AT1G01355.1	-0.790964181127012	-1.21800056912569	-1.25678015475235	0.269010457057258	0.452958109132211	0.629357631194356
AT1G01360.1	1.37587343221998	5.14221316022088	6.15721416809931	0.00222223327015952	0.0174404765602042	0.223457134128681
AT1G01370.1.Hnull	-0.343606775520503	-0.545768781689491	-0.441022591740425	0.679193217996528	0.787844393774934	0.779113773207204
AT1G01380.1.Hnull	0.513074141333702	-0.607485813091432	0.946234465393697	0.391145685340087	0.559512697889234	0.542227280973357
AT1G01390.1	3.89374778882898	2.65616204497416	12.2931191469625	0.000109750513435918	0.00428661666864236	0.316742052385547
AT1G01400.1	-4.38554290340749	-1.7161696760783	-5.55321918317263	0.00340229006428099	0.0230140636558235	0.7897298411517
AT1G01420.1	4.69697348607029	2.22499540360736	13.3348834075488	7.62178724742742e-05	0.00418931793617396	0.352232062517425
AT1G01430.1	0.594955408915364	4.74248151423668	1.65269128638897	0.164521231598436	0.331044241797524	0.359991859226962
AT1G01440.1.Hnull	0.336586981345407	4.50382882366491	1.47407095188263	0.205536563616445	0.382713725098615	0.228338385554325
AT1G01448.1	0.724184005336542	2.99001629985139	2.44291965245091	0.0629092198412907	0.176431245274967	0.296442007255535
AT1G01450.1.Hnull	0.423465173865662	-1.2785042531774	0.801060589948807	0.462537604312436	0.627011520394555	0.528630641900289
AT1G01453.2	0.626912686439326	-5.22216456114863	0.51097213152433	0.63298860006553	0.750984118633077	1.22690191453127
AT1G01460.1	-7.25645080615217	-0.964666091984417	-8.44946240903631	0.000575662191881645	0.00815408563559413	0.858806212143359
AT1G01470.1.Hnull	0.32667071954833	6.89401533164117	1.48530414843992	0.202682033166755	0.379137961911958	0.219935236760395
AT1G01480.1	0.131292531763901	-1.27717702533113	0.187930140563929	0.858955825423984	0.912593538889287	0.69862413431888
AT1G01490.1	1.23676957545345	5.8831554247527	5.28604457034243	0.0041562581239128	0.0262354912166385	0.233968813352879
AT1G01500.1	0.431856549049423	4.46074792824176	1.68580365740471	0.15787428326829	0.324538241575644	0.256172506894585
AT1G01510.1	-0.436059972663097	4.90324018065763	-1.06481875404099	0.339751175445269	0.518142648592674	0.409515676736766
AT1G01520.1	2.42696581359008	2.88030351488626	6.82302346318037	0.00144327346989226	0.0133714047936623	0.355702398897924
AT1G01530.1	1.38600164985823	-3.38321667446022	1.70766253360897	0.153636726797673	0.318594296726161	0.811636738863772
AT1G01540.2	0.154901921413679	6.08827909191264	0.681603139039661	0.528354363726342	0.673248225206649	0.227261162018601
AT1G01550.1	1.21450311329629	7.52760944292886	4.42270947848651	0.00839711011681753	0.0427528540825356	0.274606125318434
